,stock_code,date,open_p,max_p,min_p,close_p,volume_s,volume_p,volume_s1,volume_s7,volume_s30,gap,re,OBV,K,D,J,CCI,MACD,var,credit
73,SH600519,2019-04-23,951.0,981.22,949.2,974.95,4885205,4725480448.0,4062796.0,4861217.0,5305724.0,32.01999999999998,0.02518401682439542,781533778.0,82.88605450775016,82.50999354196131,83.63817643932788,-91.76071267665621,9911.086886742303,-0.011376816177821155,1.0
74,SH600519,2019-04-24,979.88,990.0,951.22,970.0,4522700,4383873024.0,4885205.0,4552300.0,5251001.0,38.77999999999997,-0.010082867289872224,777011078.0,81.18247246103225,82.06748651498496,79.4124443531268,-54.84272288629992,9973.606144365744,-0.011376816177821155,1.0
75,SH600519,2019-04-25,968.79,973.99,951.22,952.37,3980134,3822767616.0,4522700.0,4642344.0,4056136.0,22.769999999999982,-0.016948977590602668,773030944.0,73.3264241577716,79.1537990625805,61.67167434815377,-10.98194293650136,9983.403782562353,-0.011376816177821155,-1.0
76,SH600519,2019-04-26,946.3,959.88,945.0,945.0,4327768,4119727360.0,3980134.0,4076102.0,6217256.0,14.879999999999995,-0.0013737715312268357,768703176.0,65.3219188760754,74.54317233374547,46.87941196073524,36.63338388115339,9974.662085929549,-0.011347246569783843,1.0
77,SH600519,2019-04-29,945.0,989.0,935.0,971.97,5257230,5086408704.0,4327768.0,1959852.0,5240071.0,54.0,0.02853968253968257,773960406.0,67.6351254045631,72.24049002401802,58.42439616565326,-37.81535369423669,10028.143857517978,-0.011347246569783843,1.0
78,SH600519,2019-04-30,968.0,984.96,963.11,974.0,3594318,3503937536.0,5257230.0,3237978.0,8131880.0,21.850000000000023,0.006198347107438017,777554724.0,69.3361221104539,71.27236738616331,65.46363155903506,-82.31672801039964,10074.867121804966,-0.01107931024954975,1.0
79,SH600519,2019-05-06,925.5,935.0,893.0,906.0,13509968,12299396096.0,3594318.0,4062796.0,4063493.0,42.0,-0.02106969205834684,764044756.0,50.6914353588593,64.4120567103953,23.250192655787288,7059.547443699042,9959.691767819306,-0.01107931024954975,-1.0
80,SH600519,2019-05-07,893.28,913.94,870.22,890.0,10083726,9045117952.0,13509968.0,4885205.0,3111752.0,43.72000000000003,-0.003671861006627231,753961030.0,39.298826333189545,56.04097991799338,5.814519163581878,-306.8988285157395,9833.370466178985,-0.01107931024954975,1.0
81,SH600519,2019-05-08,860.0,901.8,860.0,884.4,8188298,7217709568.0,10083726.0,4522700.0,3257328.0,41.799999999999955,0.028372093023255787,745772732.0,32.45562781186995,48.179195882618906,1.0084916703720381,-162.84928635736398,9721.604813371352,-0.01077358268362016,1.0
82,SH600519,2019-05-09,875.0,879.87,842.5,858.81,9154515,7863311872.0,8188298.0,3980134.0,3051750.0,37.370000000000005,-0.018502857142857206,736618217.0,25.32296091412798,40.56045089312193,-5.152019043859923,-136.84401612515015,9576.660560223621,-0.01107931024954975,-1.0
83,SH600519,2019-05-10,875.66,910.78,868.19,907.12,7990738,7121198592.0,9154515.0,4327768.0,3727046.0,42.58999999999992,0.035927186350866815,744608955.0,31.585045615106935,37.5686491337836,19.617838577753602,-42.89413299867971,9570.874404192298,-0.01107931024954975,1.0
84,SH600519,2019-05-13,898.86,910.98,884.0,892.0,4663718,4179329536.0,7990738.0,5257230.0,3759569.0,26.980000000000018,-0.007631889281979411,739945237.0,32.319495711550246,35.818931326372486,25.320624481905767,-13.170252506563942,9532.824664337433,-0.01107931024954975,1.0
85,SH600519,2019-05-14,885.0,906.0,873.0,886.57,5998312,5349455872.0,4663718.0,3594318.0,4280739.0,33.0,0.0017740112994350848,733946925.0,31.573634228633054,34.403832293792675,25.913238098313812,-1.5152579879321375,9491.014400348426,-0.01077358268362016,1.0
86,SH600519,2019-05-15,890.24,933.0,890.24,927.0,6312425,5778791936.0,5998312.0,13509968.0,5756676.0,42.75999999999999,0.04129223580158158,740259350.0,40.82072128883459,36.54279529213998,49.376573282223816,78.58583674347499,9548.765516763197,-0.010645156620925215,1.0
87,SH600519,2019-05-16,919.0,932.0,905.0,929.91,4454000,4108281856.0,6312425.0,10083726.0,9093396.0,27.0,0.011871599564744253,744713350.0,58.71291329165549,43.93283462531181,88.27307062434284,191.75264917261055,9600.966196587988,-0.010645156620925215,1.0
88,SH600519,2019-05-17,927.02,932.3,900.1,906.79,4984200,4551116800.0,4454000.0,8188298.0,6093461.0,32.19999999999993,-0.02182261439882637,739729150.0,62.8215002054867,50.22905648537011,88.00638764571988,920.1063213853889,9590.539164502388,-0.01077358268362016,-1.0
89,SH600519,2019-05-20,900.0,900.0,871.0,884.96,4440799,3931645952.0,4984200.0,9154515.0,5322705.0,29.0,-0.01671111111111107,735288351.0,57.520042494265546,52.65938515500192,67.2413571727928,270.3653624045736,9533.662541609729,-0.01077358268362016,-1.0
90,SH600519,2019-05-21,885.0,910.0,872.02,895.0,4238565,3791406080.0,4440799.0,7990738.0,4305680.0,37.98000000000002,0.011299435028248588,739526916.0,57.68371157076266,54.33416062692217,64.38281345844365,159.5234876139818,9511.478370310253,-0.01077358268362016,1.0
91,SH600519,2019-05-22,894.98,904.0,880.0,888.0,3204158,2853872896.0,4238565.0,4663718.0,5577236.0,24.0,-0.007799056962166773,736322758.0,48.644564592924205,52.43762861558952,41.05843654759357,207.43774787074955,9478.509765946385,-0.01077358268362016,1.0
92,SH600519,2019-05-23,881.0,883.98,856.22,861.0,5805863,5062812160.0,3204158.0,5998312.0,6625193.0,27.75999999999999,-0.022701475595913734,730516895.0,34.50490292128783,46.46005338415562,10.594601995552253,-1772.5814991299787,9392.328335533799,-0.01107931024954975,-1.0
93,SH600519,2019-05-24,865.0,885.0,864.44,878.5,4403409,3858962176.0,5805863.0,6312425.0,4798980.0,20.559999999999945,0.01560693641618497,734920304.0,32.6759264243855,41.865344397565586,14.29709047802534,-132.1665153502132,9363.762000922725,-0.01107931024954975,1.0
